udise_code,school_name
27200207601,Z.P.Pri Sch Pimpalgaon (Dha)
27200208001,Z.P.Pri Sch Rajderwadi
27200207202,Z.P.Pri Sch Ramaye Supada
27200201306,Z.P.Pri Sch Renukanagar (Devi)
27200201307,Z.P.Pri Sch Sharma Vasti
27200209201,Z.P.Pri Sch Sherisalayaban
27200209701,Z.P.Pri Sch Talegaon Rohi
27200210601,Z.P.Pri Sch Vadner Bhairav
27200211101,Z.P.Pri Sch Vijaynagar(Bhortek
27200210501,Z.P.Pri School Vadgaon Pangu
27200200201,Z.P.Pri School Adgaon
27200200101,Z.P.Pri School Ahirkhede
27200200301,Z.P.Pri School Asarkhede
27200200401,Z.P.Pri School Bahaduri
27200200402,Z.P.Pri School Bahadurwadi
27200200701,Z.P.Pri School Bhadane
27200208802,Z.P.Pri School Bhambarwadi
27200200702,Z.P.Pri School Bharat Nagar
27200200901,Z.P.Pri School Bhatgaon
27200201001,Z.P.Pri School Bhayale
27200201804,Z.P.Pri School Bidgar Vasti
27200200501,Z.P.Pri School Bopane
27200200601,Z.P.Pri School Borale
27200209102,Z.P.Pri School Borkhulnagar
27200207702,Z.P.Pri School Chamakwadi
27200201501,Z.P.Pri School Chikhalambe
27200207802,Z.P.Pri School Chikhali Vasti
27200206603,Z.P.Pri School Chinchbari
27200202001,Z.P.Pri School Dahane
27200201801,Z.P.Pri School Dahegaon
27200201901,Z.P.Pri School Dahiwad
27200203801,Z.P.Pri School Daraswadi
27200202301,Z.P.Pri School Daregaon
27200209703,Z.P.Pri School Datta Wadi
27200210802,Z.P.Pri School Dattanagar
27200201303,Z.P.Pri School Dawakharnagar
27200202201,Z.P.Pri School Devargaon
27200202101,Z.P.Pri School Devgaon
27200203802,Z.P.Pri School Dhangarwadi
27200202501,Z.P.Pri School Dhodambe
27200202701,Z.P.Pri School Dhondgavan
27200202601,Z.P.Pri School Dhotarkhede
27200201601,Z.P.Pri School Dighwad
27200202901,Z.P.Pri School Dongaon
27200202801,Z.P.Pri School Dongargaon
27200208805,Z.P.Pri School Dongarshet
27200204302,Z.P.Pri School Dudha Kendra
27200201701,Z.P.Pri School Dugaon
27200203001,Z.P.Pri School Ekrukhe
27200210602,Z.P.Pri School Ganesh Nagar
27200203201,Z.P.Pri School Gangave
27200206902,Z.P.Pri School Gangurdevasti
27200206502,Z.P.Pri School Gethewadi
27200210504,Z.P.Pri School Gojare Vasti
27200204001,Z.P.Pri School Gomacha Pada
27200210603,Z.P.Pri School Goraksh Nagar
27200203401,Z.P.Pri School Gurhale
27200201702,Z.P.Pri School Hanumanwadi
27200203601,Z.P.Pri School Harnul
27200203501,Z.P.Pri School Harsul
27200203701,Z.P.Pri School Hatti
27200203901,Z.P.Pri School Hivarkhede
27200204101,Z.P.Pri School Indrayewadi
27200205502,Z.P.Pri School Jadhav Wadi
27200208903,Z.P.Pri School Jagali Maharaj Vasti
27200204703,Z.P.Pri School Jagtap Vasti
27200204301,Z.P.Pri School Jaitapur
27200204201,Z.P.Pri School Jambutke
27200204401,Z.P.Pri School Jopul
27200205304,Z.P.Pri School Kadnor Vasti
27200205001,Z.P.Pri School Kajisanghavi
27200204501,Z.P.Pri School Kalamdare
27200204601,Z.P.Pri School Kalkhode
27200210305,Z.P.Pri School Kalwatvasti
27200204701,Z.P.Pri School Kanadgaon
27200210502,Z.P.Pri School Kandekar Vasti
27200203702,Z.P.Pri School Kanherwadi
27200204803,Z.P.Pri School Kanmandale
27200204901,Z.P.Pri School Katarwadi
27200205601,Z.P.Pri School Khadak Ozar
27200205501,Z.P.Pri School Khadakjamb
27200210605,Z.P.Pri School Khandalwadi
27200210307,Z.P.Pri School Khanderao Vasti
27200205701,Z.P.Pri School Kheldari
27200205101,Z.P.Pri School Kokankhede
27200205201,Z.P.Pri School Koltek
27200201805,Z.P.Pri School Korde Vasti
27200205301,Z.P.Pri School Kundalgaon
27200205401,Z.P.Pri School Kundane
27200207404,Z.P.Pri School Mahale Vasti
27200207902,Z.P.Pri School Mahipat Vasti
27200208204,Z.P.Pri School Malhar Vasti
27200205801,Z.P.Pri School Malsane
27200205901,Z.P.Pri School Mesankhede Bud
